sequence,frames_pure,frames_update,auc_pure,auc_update,auc_delta,success50_pure,success50_update,success50_delta,precision20_pure,precision20_update,precision20_delta,fps_pure,fps_update,fps_delta
Singer2,366,366,0.059904,0.062910,0.003006,0.964481,0.964481,0.000000,0.035519,0.035519,0.000000,30.520192,33.580974,3.060782
Skater,160,160,0.613125,0.636094,0.022969,0.150000,0.093750,-0.056250,0.993750,0.981250,-0.012500,33.478650,38.829571,5.350921
Skater2,435,435,0.545920,0.521437,-0.024483,0.379310,0.468966,0.089656,0.641379,0.602299,-0.039080,28.135066,32.019542,3.884476
Skating1,400,400,0.318250,0.256000,-0.062250,0.570000,0.807500,0.237500,0.450000,0.447500,-0.002500,42.819436,35.263068,-7.556368
Skating2_1,473,473,0.333140,0.087685,-0.245455,0.720930,0.934461,0.213531,0.405920,0.101480,-0.304440,24.375337,36.998685,12.623348
Skating2_2,473,473,0.509091,0.396829,-0.112262,0.443975,0.676533,0.232558,0.429175,0.276956,-0.152219,21.760796,30.735362,8.974566
Skiing,81,81,0.082716,0.082099,-0.000617,0.938272,0.938272,0.000000,0.098765,0.098765,0.000000,34.669935,40.598510,5.928575
Soccer,392,392,0.176467,0.176339,-0.000128,0.867347,0.867347,0.000000,0.132653,0.135204,0.002551,27.089523,35.554453,8.464930
Subway,175,175,0.685714,0.689429,0.003715,0.005714,0.011429,0.005715,1.000000,1.000000,0.000000,47.488433,67.233836,19.745403
Surfer,376,376,0.522008,0.516822,-0.005186,0.547872,0.545213,-0.002659,1.000000,0.986702,-0.013298,45.150444,41.257950,-3.892494
Suv,945,945,0.237275,0.715185,0.477910,0.930159,0.195767,-0.734392,0.528042,0.800000,0.271958,42.861224,37.347464,-5.513760
Sylvester,1345,1345,0.402416,0.616617,0.214201,0.867658,0.227509,-0.640149,0.926394,0.864684,-0.061710,31.877973,34.944792,3.066819
Tiger1,354,354,0.762218,0.713771,-0.048447,0.025424,0.045198,0.019774,0.946328,0.932203,-0.014125,27.633510,33.565334,5.931824
Tiger2,365,365,0.440822,0.440411,-0.000411,0.591781,0.613699,0.021918,0.490411,0.463014,-0.027397,32.900912,36.055914,3.155002
Toy,271,271,0.418266,0.380996,-0.037270,0.535055,0.734317,0.199262,0.642066,0.649446,0.007380,53.921089,38.124782,-15.796307
Trans,124,124,0.523992,0.526411,0.002419,0.604839,0.612903,0.008064,0.370968,0.395161,0.024193,19.913219,36.983699,17.070480
Trellis,569,569,0.595958,0.641652,0.045694,0.158172,0.019332,-0.138840,1.000000,1.000000,0.000000,40.729403,45.338108,4.608705
Twinnings,472,472,0.711494,0.355932,-0.355562,0.120763,0.646186,0.525423,0.889831,0.413136,-0.476695,34.441768,33.941318,-0.500450
Vase,271,271,0.362546,0.402214,0.039668,0.815498,0.738007,-0.077491,0.678967,0.804428,0.125461,35.231201,36.224202,0.993001
Walking,412,412,0.672269,0.630643,-0.041626,0.024272,0.152913,0.128641,1.000000,1.000000,0.000000,35.395786,47.809088,12.413302
Walking2,500,500,0.804750,0.802600,-0.002150,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,30.718983,32.542894,1.823911
Woman,597,597,0.667965,0.696566,0.028601,0.082077,0.070352,-0.011725,1.000000,1.000000,0.000000,28.346263,29.237472,0.891209
OVERALL,59347,59347,0.513258,0.516882,0.003624,0.426778,0.432170,0.005392,0.758640,0.754158,-0.004482,36.043548,40.001948,3.958400
