sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Car4,659,0.7983,0.8269,0.0000,0.0000,1.0000,1.0000,43.9706,48.7454,-0.0285
CarDark,393,0.8779,0.8877,0.0000,0.0000,1.0000,1.0000,42.1331,44.0973,-0.0098
CarScale,252,0.3844,0.5604,0.5754,0.3413,0.6984,0.7222,60.4986,60.6287,-0.1760
ClifBar,472,0.3823,0.3740,0.7246,0.7521,0.6843,0.6589,56.1132,60.9453,0.0083
Coke,291,0.5210,0.5221,0.4021,0.3883,0.9244,0.9381,28.9616,34.2089,-0.0011
Couple,140,0.6663,0.6495,0.2143,0.2214,1.0000,1.0000,60.4962,67.8778,0.0168
Coupon,327,0.8985,0.8313,0.0000,0.0000,1.0000,1.0000,41.3140,44.6769,0.0672
Crossing,120,0.7123,0.7123,0.0417,0.0417,1.0000,1.0000,61.7488,65.5660,0.0000
Crowds,347,0.7090,0.6656,0.0576,0.0144,1.0000,1.0000,54.4239,58.4560,0.0434
Dancer,225,0.7041,0.6697,0.0000,0.0667,1.0000,1.0000,43.9521,48.4352,0.0344
Dancer2,150,0.7700,0.6303,0.0000,0.0200,1.0000,1.0000,42.8487,48.1226,0.1397
David,471,0.2471,0.2453,0.9257,0.8684,0.2569,0.2505,40.7699,46.5770,0.0018
David2,537,0.8597,0.8597,0.0000,0.0000,1.0000,1.0000,83.1858,89.4955,0.0000
David3,252,0.7809,0.7418,0.0000,0.0000,1.0000,1.0000,37.0368,44.9649,0.0391
Deer,71,0.8085,0.8014,0.0000,0.0000,1.0000,1.0000,36.4583,42.5184,0.0070
Diving,215,0.2816,0.3444,0.8140,0.8140,0.3721,0.6140,37.7589,45.2927,-0.0628
Dog,127,0.5449,0.5087,0.2835,0.5748,1.0000,1.0000,40.2812,43.9341,0.0362
Dog1,1350,0.8093,0.5656,0.0281,0.4348,1.0000,1.0000,53.5917,65.0619,0.2437
Doll,3872,0.7020,0.7341,0.1005,0.0065,0.9786,0.9873,33.6381,36.7600,-0.0320
DragonBaby,113,0.2088,0.1650,0.7788,0.8761,0.2920,0.1327,81.5652,93.9270,0.0438
Dudek,1145,0.7965,0.7937,0.0000,0.0026,0.8480,0.8358,24.2972,26.3538,0.0028
FaceOcc1,892,0.5540,0.6059,0.3677,0.1682,0.5291,0.8128,25.5277,27.6210,-0.0518
FaceOcc2,812,0.6955,0.6996,0.0456,0.1059,0.9138,1.0000,28.7761,29.0780,-0.0041
Fish,476,0.7681,0.7773,0.0000,0.0000,1.0000,1.0000,31.1814,33.7302,-0.0092
FleetFace,707,0.5823,0.5300,0.3706,0.4045,0.5714,0.4724,30.5788,37.4370,0.0523
Football,362,0.5928,0.5960,0.2127,0.2127,0.7928,0.7928,62.7789,67.3080,-0.0032
Football1,74,0.7821,0.7824,0.0000,0.0000,1.0000,1.0000,70.3090,76.8599,-0.0003
Freeman1,326,0.2225,0.2202,0.8466,0.8497,0.3804,0.3804,146.9587,159.6803,0.0022
Freeman3,460,0.3536,0.3536,0.6696,0.6696,0.9043,0.9043,76.9233,80.2154,0.0000
Freeman4,283,0.1552,0.1552,0.8410,0.8410,0.2049,0.2049,59.6486,60.4409,0.0000
Girl,500,0.6489,0.6210,0.1480,0.1780,1.0000,0.8680,47.2808,50.6695,0.0280
Girl2,1500,0.0785,0.0789,0.9300,0.9293,0.0700,0.0700,40.0244,47.3496,-0.0005
Gym,767,0.3472,0.3628,0.9505,0.9140,0.9648,0.9687,42.8260,46.5478,-0.0156
Human2,1128,0.5474,0.5867,0.4504,0.3839,0.1640,0.2137,16.6352,18.9411,-0.0393
Human3,1698,0.0450,0.0444,0.9741,0.9764,0.0324,0.0324,41.3910,49.5942,0.0007
Human4_2,667,0.5622,0.5673,0.2309,0.1754,0.8636,0.8636,46.8576,54.1281,-0.0051
Human5,713,0.3763,0.3767,0.6578,0.6578,0.9958,0.9944,46.9455,52.7318,-0.0004
Human6,792,0.2452,0.2480,0.7740,0.7740,0.5947,0.5934,45.6127,47.0697,-0.0028
Human7,250,0.7089,0.7255,0.0120,0.0120,1.0000,1.0000,40.9260,45.4350,-0.0166
Human8,128,0.6373,0.5936,0.0703,0.2500,1.0000,1.0000,43.8072,47.8672,0.0438
Human9,305,0.5693,0.5749,0.3475,0.3475,1.0000,1.0000,43.2309,47.2972,-0.0056
Ironman,166,0.1128,0.0845,0.9036,0.9518,0.1024,0.0964,54.6409,60.0113,0.0283
Jogging,307,0.6634,0.6464,0.0293,0.0358,0.9772,0.9772,38.0307,40.8108,0.0169
Jump,122,0.0760,0.0752,0.9426,0.9426,0.0574,0.0574,28.5791,30.6551,0.0008
Jumping,313,0.7270,0.6925,0.0000,0.0032,1.0000,1.0000,62.7604,68.4908,0.0345
KiteSurf,84,0.5158,0.5146,0.3690,0.3571,0.7738,0.7857,61.2219,67.1801,0.0012
Lemming,1336,0.2494,0.2656,0.7358,0.7358,0.2747,0.2747,35.5621,41.3544,-0.0162
Liquor,1741,0.7096,0.7354,0.0281,0.1034,0.9845,0.9144,28.2425,28.0823,-0.0258
Man,134,0.8550,0.8506,0.0000,0.0000,1.0000,1.0000,35.4922,38.7970,0.0045
Matrix,100,0.0358,0.0353,0.9900,0.9900,0.0100,0.0100,41.8981,47.5869,0.0005
Mhyang,1490,0.7572,0.7653,0.0121,0.0054,1.0000,1.0000,32.1994,35.6150,-0.0081
MotorRolling,164,0.1047,0.1084,0.9329,0.9268,0.0488,0.0488,39.4791,24.6270,-0.0037
MountainBike,228,0.6192,0.5997,0.2193,0.2149,1.0000,1.0000,37.6393,41.5095,0.0195
Panda,1000,0.3656,0.3946,0.7040,0.7110,0.7810,0.9210,65.0868,69.6969,-0.0291
RedTeam,1918,0.4956,0.5183,0.5829,0.3629,1.0000,1.0000,25.4097,26.5361,-0.0227
Rubik,1997,0.3569,0.3862,0.7236,0.8428,0.6224,0.3846,38.3907,43.6110,-0.0294
Shaking,365,0.1736,0.1777,0.8219,0.8192,0.1781,0.1808,46.6409,52.0525,-0.0041
Singer1,351,0.8729,0.7926,0.0000,0.0000,1.0000,1.0000,36.4502,38.9065,0.0803
Singer2,366,0.0583,0.0602,0.9672,0.9645,0.0355,0.0355,47.8833,50.2642,-0.0019
Skater,160,0.5878,0.6166,0.2375,0.1187,0.9938,1.0000,41.8818,43.8997,-0.0287
Skater2,435,0.5406,0.5639,0.4184,0.3333,0.7057,0.6736,28.8926,32.9489,-0.0232
Skating1,400,0.4538,0.3131,0.4100,0.5750,0.6875,0.4500,45.2156,53.2004,0.1406
Skating2_1,473,0.2283,0.2047,0.8795,0.8837,0.2791,0.0951,24.5821,30.3237,0.0236
Skating2_2,473,0.4275,0.4566,0.6702,0.5941,0.2875,0.3256,22.0528,24.4440,-0.0291
Skiing,81,0.0821,0.0809,0.9383,0.9383,0.0988,0.0864,44.1177,53.0622,0.0012
Soccer,392,0.1763,0.2001,0.8673,0.8036,0.1352,0.2194,41.9046,47.7530,-0.0237
Subway,175,0.6789,0.6777,0.0286,0.0171,1.0000,1.0000,84.2466,92.4965,0.0011
Surfer,376,0.5211,0.5227,0.5532,0.5426,1.0000,1.0000,82.8531,90.9674,-0.0016
Suv,945,0.2565,0.2766,0.9228,0.8286,0.5291,0.5280,48.2147,52.8819,-0.0201
Sylvester,1345,0.6537,0.6464,0.1643,0.1822,0.8907,0.8840,42.3353,46.2186,0.0073
Tiger1,354,0.7478,0.6748,0.0452,0.1271,0.9350,0.8672,44.2328,52.9379,0.0730
Tiger2,365,0.4675,0.5029,0.5507,0.4795,0.4877,0.5260,40.9235,47.3660,-0.0353
Toy,271,0.2782,0.3520,0.7712,0.8081,0.5314,0.9373,61.6607,42.1650,-0.0738
Trans,124,0.4526,0.3341,0.7177,0.8710,0.2581,0.6129,19.8402,23.4880,0.1185
Trellis,569,0.6135,0.6400,0.0404,0.0193,1.0000,1.0000,40.6871,44.5372,-0.0264
Twinnings,472,0.7252,0.7244,0.1229,0.1335,0.8898,0.8898,48.6942,53.0228,0.0007
Vase,271,0.4469,0.3371,0.6531,0.8856,0.7638,0.6974,54.6942,58.8403,0.1098
Walking,412,0.6709,0.6707,0.0073,0.0146,1.0000,1.0000,51.0836,53.8665,0.0002
Walking2,500,0.7951,0.8053,0.0000,0.0000,1.0000,1.0000,35.4073,38.6384,-0.0102
Woman,597,0.6894,0.7194,0.0670,0.0653,1.0000,1.0000,18.2819,19.0323,-0.0300
OVERALL,58733,0.5301,0.5206,0.4042,0.4139,0.7564,0.7437,38.4685,42.4947,0.0095
