sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Jogging,307,0.7121,0.5958,0.9707,0.9414,0.9772,0.9772,26.8667,20.9920,0.1163
Jump,122,0.0707,0.0746,0.0492,0.0574,0.0492,0.0574,27.2601,18.0221,-0.0039
Jumping,313,0.1911,0.6706,0.2141,0.9872,0.2173,0.9904,58.0640,48.8874,-0.4795
KiteSurf,84,0.2622,0.3348,0.2857,0.3810,0.2857,0.4048,32.3869,18.5154,-0.0726
Lemming,1336,0.2565,0.4575,0.2650,0.3593,0.2747,0.7972,28.4723,14.7718,-0.2010
Liquor,1741,0.5685,0.3379,0.6198,0.4268,0.6134,0.4285,31.6862,27.1327,0.2306
Man,134,0.8371,0.8509,1.0000,1.0000,1.0000,1.0000,86.1422,62.5689,-0.0138
Matrix,100,0.0358,0.0353,0.0100,0.0100,0.0100,0.0100,226.2880,20.8181,0.0005
Mhyang,1490,0.5553,0.7941,0.5034,0.9993,1.0000,1.0000,17.2627,16.8797,-0.2388
MotorRolling,164,0.1047,0.1066,0.0610,0.0793,0.0488,0.0549,23.8488,19.7710,-0.0019
MountainBike,228,0.7400,0.5641,1.0000,0.6623,1.0000,1.0000,28.6127,24.2251,0.1759
Panda,1000,0.3628,0.3651,0.2940,0.3010,0.7820,0.7810,17.9056,16.8727,-0.0023
RedTeam,1918,0.5186,0.5175,0.6330,0.6277,1.0000,1.0000,27.9821,22.0966,0.0011
Rubik,1997,0.6198,0.3704,0.7111,0.1622,0.6435,0.3225,68.5110,47.6778,0.2494
Shaking,365,0.7304,0.0373,0.9507,0.0137,0.9562,0.0137,106.0317,97.5707,0.6931
Singer1,351,0.8077,0.8071,1.0000,1.0000,1.0000,1.0000,12.5122,10.6657,0.0006
Singer2,366,0.0617,0.0599,0.0355,0.0355,0.0355,0.0355,16.5261,14.8896,0.0018
Skater,160,0.6417,0.6131,0.9187,0.8500,0.9625,0.9938,20.7264,17.1350,0.0286
Skater2,435,0.5324,0.5459,0.5655,0.6207,0.7402,0.6414,19.0666,16.6937,-0.0135
Skating1,400,0.3959,0.3182,0.4275,0.4300,0.6875,0.4500,12.7844,16.2586,0.0777
Skating2_1,473,0.3031,0.3331,0.2854,0.2791,0.4334,0.4059,17.4467,11.3968,-0.0300
Skating2_2,473,0.3706,0.5091,0.2156,0.5560,0.1353,0.4292,18.5533,13.6276,-0.1385
Skiing,81,0.0864,0.0821,0.0617,0.0617,0.0864,0.0988,24.6123,21.5663,0.0043
Soccer,392,0.1772,0.1765,0.1454,0.1327,0.1505,0.1327,12.3452,11.0813,0.0007
Subway,175,0.6740,0.6854,0.9886,0.9943,1.0000,1.0000,46.0587,27.4416,-0.0114
Surfer,376,0.0554,0.5220,0.0399,0.4521,0.0399,1.0000,22.3637,21.0876,-0.4666
Suv,945,0.7091,0.2373,0.8074,0.0698,0.8011,0.5280,21.6678,21.0012,0.4718
Sylvester,1345,0.6529,0.4024,0.8097,0.1323,0.8885,0.9264,16.8671,15.6305,0.2505
Tiger1,354,0.6149,0.7622,0.7034,0.9746,0.6525,0.9463,22.8037,18.2487,-0.1473
Tiger2,365,0.2103,0.4408,0.1836,0.4082,0.2219,0.4904,32.5081,23.9046,-0.2305
Toy,271,0.4149,0.4183,0.5203,0.4649,0.5941,0.6421,43.0661,38.5009,-0.0034
Trans,124,0.5296,0.5240,0.4435,0.3952,0.4032,0.3710,12.4908,7.1676,0.0056
Trellis,569,0.6417,0.5960,0.9666,0.8436,1.0000,1.0000,14.6543,13.6495,0.0457
Twinnings,472,0.5050,0.7114,0.4047,0.8814,0.9979,0.8898,19.6268,18.9814,-0.2064
Vase,271,0.4148,0.3625,0.2694,0.1845,0.7860,0.6790,21.2421,19.4814,0.0523
Walking,412,0.6513,0.6723,0.9320,0.9782,1.0000,1.0000,23.3640,26.0690,-0.0210
Walking2,500,0.5276,0.8049,0.4840,1.0000,0.6800,1.0000,15.6880,21.6569,-0.2772
Woman,597,0.6725,0.6679,0.9246,0.9179,0.9430,1.0000,17.4416,20.4345,0.0046
OVERALL,58733,0.4915,0.5117,0.5453,0.5693,0.7119,0.7562,27.3403,22.6195,-0.0202
