sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Freeman1,326,0.2245,0.2209,0.1626,0.1534,0.3681,0.3804,33.3477,41.8527,0.0036
Freeman3,460,0.3414,0.3536,0.3000,0.3304,0.7913,0.9043,34.8545,34.1393,-0.0122
Freeman4,283,0.1811,0.1552,0.1873,0.1590,0.4064,0.2049,22.4089,77.5681,0.0259
Girl,500,0.5722,0.6610,0.6080,0.8880,1.0000,1.0000,43.9120,33.1337,-0.0888
Girl2,1500,0.0796,0.0790,0.0707,0.0693,0.0700,0.0700,26.9074,19.9349,0.0007
Gym,767,0.2943,0.2955,0.0209,0.0248,0.9752,0.9700,31.7623,26.1961,-0.0012
Human2,1128,0.5569,0.3525,0.5612,0.2988,0.2704,0.4858,23.5114,19.5439,0.2044
Human3,1698,0.1979,0.2471,0.1885,0.3251,0.3610,0.3651,29.5166,23.7096,-0.0492
Human4_2,667,0.5768,0.5712,0.8321,0.8186,0.8666,0.8636,55.6499,39.6612,0.0056
Human5,713,0.3376,0.3767,0.3436,0.3450,0.5708,0.9944,66.0663,47.2043,-0.0392
Human6,792,0.2288,0.2834,0.2260,0.2260,0.3270,0.8106,37.5345,30.2516,-0.0546
Human7,250,0.6595,0.7665,0.9440,0.9960,0.9840,1.0000,29.7610,24.4406,-0.1070
Human8,128,0.4994,0.5318,0.2812,0.3828,1.0000,1.0000,28.3601,23.7005,-0.0324
Human9,305,0.5608,0.4218,0.5607,0.2852,1.0000,1.0000,30.4204,24.2050,0.1390
Ironman,166,0.3285,0.1041,0.3855,0.0904,0.4157,0.1145,30.0788,33.5284,0.2244
Jogging,307,0.7121,0.5958,0.9707,0.9414,0.9772,0.9772,29.2459,24.1861,0.1163
Jump,122,0.0707,0.0746,0.0492,0.0574,0.0492,0.0574,28.3073,18.7688,-0.0039
Jumping,313,0.1911,0.6706,0.2141,0.9872,0.2173,0.9904,56.9435,49.4894,-0.4796
KiteSurf,84,0.2622,0.3348,0.2857,0.3810,0.2857,0.4048,35.1972,34.6031,-0.0726
Lemming,1336,0.2565,0.4575,0.2650,0.3593,0.2747,0.7972,29.4879,23.6142,-0.2010
Liquor,1741,0.5685,0.3379,0.6198,0.4268,0.6134,0.4285,29.4978,23.1940,0.2306
Man,134,0.8371,0.8509,1.0000,1.0000,1.0000,1.0000,94.0686,58.2332,-0.0138
Matrix,100,0.0358,0.0353,0.0100,0.0100,0.0100,0.0100,195.7813,19.3859,0.0005
Mhyang,1490,0.5553,0.7941,0.5034,0.9993,1.0000,1.0000,18.4555,16.1535,-0.2388
MotorRolling,164,0.1047,0.1066,0.0610,0.0793,0.0488,0.0549,19.8396,18.0225,-0.0018
MountainBike,228,0.7400,0.5641,1.0000,0.6623,1.0000,1.0000,26.6967,22.9056,0.1759
Panda,1000,0.3628,0.3651,0.2940,0.3010,0.7820,0.7810,19.6536,16.4729,-0.0023
RedTeam,1918,0.5186,0.5175,0.6330,0.6277,1.0000,1.0000,26.1127,21.5816,0.0011
Rubik,1997,0.6198,0.3704,0.7111,0.1622,0.6435,0.3225,63.0282,46.0083,0.2493
Shaking,365,0.7304,0.0373,0.9507,0.0137,0.9562,0.0137,98.0531,112.4578,0.6932
Singer1,351,0.8077,0.8071,1.0000,1.0000,1.0000,1.0000,14.3861,10.5324,0.0006
Singer2,366,0.0617,0.0599,0.0355,0.0355,0.0355,0.0355,17.1760,14.3907,0.0018
Skater,160,0.6417,0.6131,0.9187,0.8500,0.9625,0.9938,19.0854,16.2574,0.0286
Skater2,435,0.5324,0.5459,0.5655,0.6207,0.7402,0.6414,19.4558,15.8328,-0.0136
Skating1,400,0.3959,0.3182,0.4275,0.4300,0.6875,0.4500,14.7167,16.3391,0.0777
Skating2_1,473,0.3031,0.3331,0.2854,0.2791,0.4334,0.4059,16.8081,11.4382,-0.0300
Skating2_2,473,0.3706,0.5091,0.2156,0.5560,0.1353,0.4292,18.6327,13.1833,-0.1385
Skiing,81,0.0864,0.0821,0.0617,0.0617,0.0864,0.0988,22.5050,18.2913,0.0043
Soccer,392,0.1772,0.1765,0.1454,0.1327,0.1505,0.1327,14.7989,10.9984,0.0008
Subway,175,0.6740,0.6854,0.9886,0.9943,1.0000,1.0000,42.1883,31.1872,-0.0114
Surfer,376,0.0554,0.5220,0.0399,0.4521,0.0399,1.0000,23.4534,20.0930,-0.4666
Suv,945,0.7091,0.2373,0.8074,0.0698,0.8011,0.5280,20.8374,19.9763,0.4719
Sylvester,1345,0.6529,0.4024,0.8097,0.1323,0.8885,0.9264,17.9937,15.0809,0.2505
Tiger1,354,0.6149,0.7622,0.7034,0.9746,0.6525,0.9463,21.2826,16.5692,-0.1473
Tiger2,365,0.2103,0.4408,0.1836,0.4082,0.2219,0.4904,29.5352,23.9803,-0.2305
Toy,271,0.4149,0.4183,0.5203,0.4649,0.5941,0.6421,36.4942,39.5501,-0.0033
Trans,124,0.5296,0.5240,0.4435,0.3952,0.4032,0.3710,13.9705,6.8502,0.0056
Trellis,569,0.6417,0.5960,0.9666,0.8436,1.0000,1.0000,16.5937,13.4639,0.0458
Twinnings,472,0.5050,0.7114,0.4047,0.8814,0.9979,0.8898,19.6014,18.1736,-0.2064
Vase,271,0.4148,0.3625,0.2694,0.1845,0.7860,0.6790,20.9625,19.4662,0.0522
Walking,412,0.6513,0.6723,0.9320,0.9782,1.0000,1.0000,20.3011,14.6885,-0.0210
Walking2,500,0.5276,0.8049,0.4840,1.0000,0.6800,1.0000,17.3048,14.8698,-0.2772
Woman,597,0.6725,0.6679,0.9246,0.9179,0.9430,1.0000,17.7191,15.5319,0.0046
OVERALL,58733,0.4915,0.5117,0.5453,0.5693,0.7119,0.7562,27.5593,22.2297,-0.0202
